"","event_id","year","start_date","end_date","event"
"1",NA,2022,2022-04-08,2022-04-10,"IFSC - Climbing World Cup (B) - Meiringen (SUI) 2022"
"2","1235",2022,2022-05-06,2022-05-08,"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2022"
"3","1236",2022,2022-05-20,2022-05-22,"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2022"
"4","1237",2022,2022-05-27,2022-05-29,"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2022"
"5",NA,2022,2022-06-10,2022-06-12,"IFSC - Climbing World Cup (B) - Brixen (ITA) 2022"
"6",NA,2022,2022-06-22,2022-06-26,"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2022"
"7","1239",2022,2022-06-30,2022-07-02,"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2022"
"8","1240",2022,2022-07-08,2022-07-10,"IFSC - Climbing World Cup (L,S) - Chamonix (FRA) 2022"
"9",NA,2022,2022-07-22,2022-07-23,"IFSC - Climbing World Cup (L) - Briançon (FRA) 2022"
"10",NA,2022,2022-09-02,2022-09-03,"IFSC - Climbing World Cup (L) - Koper (SLO) 2022"
"11","1288",2022,2022-09-09,2022-09-11,"IFSC - Climbing World Cup (L,S) - Edinburgh (GBR) 2022"
"12","1243",2022,2022-09-24,2022-09-26,"IFSC - Climbing World Cup (L,S) - Jakarta (INA) 2022"
"13",NA,2022,2022-10-20,2022-10-22,"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022"
"14",NA,2021,2021-04-16,2021-04-17,"IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021"
"15",NA,2021,2021-05-21,2021-05-22,"IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021"
"16","1192",2021,2021-05-28,2021-05-30,"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2021"
"17",NA,2021,2021-06-23,2021-06-26,"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021"
"18","1194",2021,2021-07-01,2021-07-03,"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2021"
"19",NA,2021,2021-07-12,2021-07-13,"IFSC - Climbing World Cup (L) - Chamonix (FRA) 2021"
"20",NA,2021,2021-07-17,2021-07-18,"IFSC - Climbing World Cup (L) - Briançon (FRA) 2021"
"21",NA,2021,2021-09-03,2021-09-04,"IFSC - Climbing World Cup (L) - Kranj (SLO) 2021"
"22","1185",2021,2021-09-16,2021-09-21,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021"
"23","1189",2021,2021-10-01,2021-10-03,"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2021 - CANCELLED"
"24",NA,2020,2020-02-24,2020-03-01,"IFSC Pan Am - Continental Championships (C) - Los Angeles (USA) 2020"
"25",NA,2020,2020-08-21,2020-08-22,"IFSC - Climbing World Cup (L) - Briançon (FRA) 2020"
"26","1166",2020,2020-11-21,2020-11-29,"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020"
"27",NA,2020,2020-12-17,2020-12-20,"IFSC Africa - Continental Championships (C) - Cape Town (RSA) 2020"
"28",NA,2020,2020-12-19,2020-12-20,"IFSC Oceania - Continental Championships (C) - Sydney (AUS) 2020"
"29",NA,2019,2019-04-05,2019-04-06,"IFSC Climbing Worldcup (B) - Meiringen (SUI) 2019"
"30","1113",2019,2019-04-12,2019-04-14,"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019"
"31","1114",2019,2019-04-26,2019-04-28,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2019"
"32","1115",2019,2019-05-03,2019-05-05,"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019"
"33",NA,2019,2019-05-18,2019-05-19,"IFSC Climbing Worldcup (B) - Munich (GER) 2019"
"34",NA,2019,2019-06-07,2019-06-08,"IFSC Climbing Worldcup (B) - Vail (USA) 2019"
"35","1118",2019,2019-07-04,2019-07-06,"IFSC Climbing Worldcup (L, S) - Villars (SUI) 2019"
"36","1119",2019,2019-07-11,2019-07-13,"IFSC Climbing Worldcup (L, S) - Chamonix (FRA) 2019"
"37",NA,2019,2019-07-19,2019-07-20,"IFSC Climbing Worldcup (L) - Briançon (FRA) 2019"
"38","1121",2019,2019-08-11,2019-08-21,"IFSC Climbing World Championships - Hachioji (JPN) 2019"
"39",NA,2019,2019-08-18,2019-08-21,"IFSC Climbing World Championships Combined - Hachioji (JPN) 2019"
"40",NA,2019,2019-09-28,2019-09-29,"IFSC Climbing Worldcup (L) - Kranj (SLO) 2019"
"41","1124",2019,2019-10-18,2019-10-20,"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2019"
"42",NA,2019,2019-10-26,2019-10-27,"IFSC Climbing Worldcup (L) - Inzai (JPN) 2019"
"43",NA,2018,2018-04-13,2018-04-14,"IFSC Climbing Worldcup (B) - Meiringen (SUI) 2018"
