"X","rank","fname","lname","country","best_qual","final","fall_qual","false_start_qual","fall_final","false_start_final","sex","event_id","lane_a","lane_b","fall_lane_a","false_start_lane_a","fall_lane_b","false_start_lane_b","first_round","quarter","semi","small_final","big_final","fall_first_round","fall_quarter","fall_semi","fall_small_final","fall_big_final","false_start_first_round","false_start_quarter","false_start_semi","false_start_small_final","false_start_big_final","tomoa_skip","year","start_date","end_date","event","dob","time_progression","age"
1,1,"dmitrii","timofeev","RUS",6.27,6.47,FALSE,FALSE,FALSE,FALSE,"M",727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,"2012-04-13","2012-04-14","IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2012","1993-01-01",0,19
2,2,"libor","hroza","CZE",6.34,7.28,FALSE,FALSE,FALSE,FALSE,"M",727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,"2012-04-13","2012-04-14","IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2012","1987-01-01",0,25
3,3,"qixin","zhong","CHN",6.98,6.86,FALSE,FALSE,FALSE,FALSE,"M",727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,"2012-04-13","2012-04-14","IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2012","1989-04-07",0,23
4,4,"ivan","novikov","RUS",6.8,10.5,FALSE,FALSE,FALSE,FALSE,"M",727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,"2012-04-13","2012-04-14","IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2012","1990-01-01",0,22
5,5,"arsenii","shevchenko","RUS",6.81,6.53,FALSE,FALSE,FALSE,FALSE,"M",727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,"2012-04-13","2012-04-14","IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2012","1990-01-01",0,22
6,6,"lukasz","swirk","POL",6.96,6.82,FALSE,FALSE,FALSE,FALSE,"M",727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,"2012-04-13","2012-04-14","IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2012","1985-01-01",0,27
7,7,"sergei","sinitcyn","RUS",7.01,8.8,FALSE,FALSE,FALSE,FALSE,"M",727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,"2012-04-13","2012-04-14","IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2012","1983-01-01",0,29
8,8,"danyil","boldyrev","UKR",6.87,9.03,FALSE,FALSE,FALSE,FALSE,"M",727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,"2012-04-13","2012-04-14","IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2012","1992-05-15",0,19
9,9,"jedrzej","komosinski","POL",6.93,6.85,FALSE,FALSE,FALSE,FALSE,"M",727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,"2012-04-13","2012-04-14","IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2012","1988-01-01",0,24
10,10,"evgenii","vaitsekhovskii","RUS",6.5,7.01,FALSE,FALSE,FALSE,FALSE,"M",727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,"2012-04-13","2012-04-14","IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2012","1986-05-12",0,25
11,11,"oleksiy","yurko","UKR",7.18,7.01,FALSE,FALSE,FALSE,FALSE,"M",727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,"2012-04-13","2012-04-14","IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2012",NA,0,22.1363636363636
