"","rank","fname","lname","country","best_qual","final","fall_qual","false_start_qual","fall_final","false_start_final","sex","event_id","lane_a","lane_b","fall_lane_a","false_start_lane_a","fall_lane_b","false_start_lane_b","first_round","quarter","semi","small_final","big_final","fall_first_round","fall_quarter","fall_semi","fall_small_final","fall_big_final","false_start_first_round","false_start_quarter","false_start_semi","false_start_small_final","false_start_big_final","tomoa_skip","year","start_date","end_date","event"
"1",1,"dmitrii","timofeev","RUS",6.27,6.47,FALSE,FALSE,FALSE,FALSE,"M",727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,2012-04-13,2012-04-14,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2012"
"2",2,"libor","hroza","CZE",6.34,7.28,FALSE,FALSE,FALSE,FALSE,"M",727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,2012-04-13,2012-04-14,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2012"
"3",3,"qixin","zhong","CHN",6.98,6.86,FALSE,FALSE,FALSE,FALSE,"M",727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,2012-04-13,2012-04-14,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2012"
"4",4,"ivan","novikov","RUS",6.8,10.5,FALSE,FALSE,FALSE,FALSE,"M",727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,2012-04-13,2012-04-14,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2012"
"5",5,"arsenii","shevchenko","RUS",6.81,6.53,FALSE,FALSE,FALSE,FALSE,"M",727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,2012-04-13,2012-04-14,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2012"
"6",6,"lukasz","swirk","POL",6.96,6.82,FALSE,FALSE,FALSE,FALSE,"M",727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,2012-04-13,2012-04-14,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2012"
"7",7,"sergei","sinitcyn","RUS",7.01,8.8,FALSE,FALSE,FALSE,FALSE,"M",727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,2012-04-13,2012-04-14,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2012"
"8",8,"danyil","boldyrev","UKR",6.87,9.03,FALSE,FALSE,FALSE,FALSE,"M",727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,2012-04-13,2012-04-14,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2012"
"9",9,"jedrzej","komosinski","POL",6.93,6.85,FALSE,FALSE,FALSE,FALSE,"M",727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,2012-04-13,2012-04-14,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2012"
"10",10,"evgenii","vaitsekhovskii","RUS",6.5,7.01,FALSE,FALSE,FALSE,FALSE,"M",727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,2012-04-13,2012-04-14,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2012"
"11",11,"oleksiy","yurko","UKR",7.18,7.01,FALSE,FALSE,FALSE,FALSE,"M",727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,2012-04-13,2012-04-14,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2012"
"12",12,"yaroslav","gontaryk","UKR",6.84,7.15,FALSE,FALSE,FALSE,FALSE,"M",727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,2012-04-13,2012-04-14,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2012"
"13",13,"stanislav","kokorin","RUS",6.56,7.18,FALSE,FALSE,FALSE,FALSE,"M",727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,2012-04-13,2012-04-14,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2012"
"14",14,"evgeny","astashkin","RUS",6.95,7.41,FALSE,FALSE,FALSE,FALSE,"M",727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,2012-04-13,2012-04-14,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2012"
"15",15,"ning","zhang","CHN",7.39,7.43,FALSE,FALSE,FALSE,FALSE,"M",727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,2012-04-13,2012-04-14,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2012"
"16",16,"sergey","abdrakhmanov","RUS",6.43,NA,FALSE,FALSE,TRUE,FALSE,"M",727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,2012-04-13,2012-04-14,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2012"
"17",17,"zufar","nigmanov","RUS",7.46,NA,FALSE,FALSE,FALSE,FALSE,"M",727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,2012-04-13,2012-04-14,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2012"
"18",18,"sergiy","barkovskyy","UKR",7.52,NA,FALSE,FALSE,FALSE,FALSE,"M",727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,2012-04-13,2012-04-14,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2012"
"19",19,"artem","savelyev","RUS",7.65,NA,FALSE,FALSE,FALSE,FALSE,"M",727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,2012-04-13,2012-04-14,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2012"
"20",20,"yuhang","zhang","CHN",7.66,NA,FALSE,FALSE,FALSE,FALSE,"M",727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,2012-04-13,2012-04-14,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2012"
"21",21,"viacheslav","vedenchuk","RUS",8,NA,FALSE,FALSE,FALSE,FALSE,"M",727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,2012-04-13,2012-04-14,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2012"
