"","rank","fname","lname","country","best_qual","final","fall_qual","false_start_qual","fall_final","false_start_final","sex","event_id","lane_a","lane_b","fall_lane_a","false_start_lane_a","fall_lane_b","false_start_lane_b","first_round","quarter","semi","small_final","big_final","fall_first_round","fall_quarter","fall_semi","fall_small_final","fall_big_final","false_start_first_round","false_start_quarter","false_start_semi","false_start_small_final","false_start_big_final"
"1",1,"danyil","boldyrev","UKR",6.67,6.11,FALSE,FALSE,FALSE,FALSE,"M","744",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2,"arsenii","shevchenko","RUS",6.67,6.59,FALSE,FALSE,FALSE,FALSE,"M","744",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",3,"yaroslav","gontaryk","UKR",6.67,6.2,FALSE,FALSE,FALSE,FALSE,"M","744",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",4,"stanislav","kokorin","RUS",6.67,9.56,FALSE,FALSE,FALSE,FALSE,"M","744",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",5,"sergey","abdrakhmanov","RUS",6.67,6.322,FALSE,FALSE,FALSE,FALSE,"M","744",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",6,"qixin","zhong","CHN",6.67,6.5,FALSE,FALSE,FALSE,FALSE,"M","744",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",7,"leonardo","gontero","ITA",6.67,6.59,FALSE,FALSE,FALSE,FALSE,"M","744",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",8,"evgenii","vaitsekhovskii","RUS",6.67,7.31,FALSE,FALSE,FALSE,FALSE,"M","744",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",9,"jedrzej","komosinski","POL",6.67,6.55,FALSE,FALSE,FALSE,FALSE,"M","744",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",10,"viacheslav","vedenchuk","RUS",6.67,6.61,FALSE,FALSE,FALSE,FALSE,"M","744",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",11,"libor","hroza","CZE",6.67,7.07,FALSE,FALSE,FALSE,FALSE,"M","744",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",12,"sergei","sinitcyn","RUS",6.67,7.21,FALSE,FALSE,FALSE,FALSE,"M","744",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",13,"sungjoon","chae","KOR",6.67,8.47,FALSE,FALSE,FALSE,FALSE,"M","744",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",14,"seungwoon","cho","KOR",6.67,9.41,FALSE,FALSE,FALSE,FALSE,"M","744",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",15,"sean","mccoll","CAN",6.67,10.05,FALSE,FALSE,FALSE,FALSE,"M","744",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",16,"artem","savelyev","RUS",6.67,NA,FALSE,FALSE,TRUE,FALSE,"M","744",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",17,"pyeongju","hwang","KOR",6.67,NA,FALSE,FALSE,FALSE,FALSE,"M","744",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",18,"hanwool","kim","KOR",6.67,NA,FALSE,FALSE,FALSE,FALSE,"M","744",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",19,"jakob","schubert","AUT",6.67,NA,FALSE,FALSE,FALSE,FALSE,"M","744",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",1,"stanislav","kokorin","RUS",6.09,6.08,FALSE,FALSE,FALSE,FALSE,"M","743",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",2,"evgenii","vaitsekhovskii","RUS",6.09,6.29,FALSE,FALSE,FALSE,FALSE,"M","743",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",3,"sergey","abdrakhmanov","RUS",6.09,6.11,FALSE,FALSE,FALSE,FALSE,"M","743",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",4,"aspar","aspar","INA",6.09,6.64,FALSE,FALSE,FALSE,FALSE,"M","743",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",5,"danyil","boldyrev","UKR",6.09,6.22,FALSE,FALSE,FALSE,FALSE,"M","743",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",6,"arsenii","shevchenko","RUS",6.09,6.33,FALSE,FALSE,FALSE,FALSE,"M","743",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",7,"yaroslav","gontaryk","UKR",6.09,7.71,FALSE,FALSE,FALSE,FALSE,"M","743",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",8,"sergei","sinitcyn","RUS",6.09,8.66,FALSE,FALSE,FALSE,FALSE,"M","743",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",9,"lincai","zhong","CHN",6.09,6.7,FALSE,FALSE,FALSE,FALSE,"M","743",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",10,"viacheslav","vedenchuk","RUS",6.09,7.07,FALSE,FALSE,FALSE,FALSE,"M","743",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",11,"guangdong","li","CHN",6.09,7.47,FALSE,FALSE,FALSE,FALSE,"M","743",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",12,"leonardo","gontero","ITA",6.09,7.75,FALSE,FALSE,FALSE,FALSE,"M","743",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",13,"artem","savelyev","RUS",6.09,8.36,FALSE,FALSE,FALSE,FALSE,"M","743",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",14,"jedrzej","komosinski","POL",6.09,8.81,FALSE,FALSE,FALSE,FALSE,"M","743",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",15,"oleksiy","yurko","UKR",6.09,NA,FALSE,FALSE,TRUE,FALSE,"M","743",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",16,"yuhang","zhang","CHN",6.09,NA,FALSE,FALSE,TRUE,FALSE,"M","743",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",17,"qixin","zhong","CHN",6.09,NA,FALSE,FALSE,FALSE,FALSE,"M","743",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",18,"yeu-shiang","chang","TPE",6.09,NA,FALSE,FALSE,FALSE,FALSE,"M","743",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",19,"libor","hroza","CZE",6.09,NA,FALSE,FALSE,FALSE,FALSE,"M","743",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",20,"sean","mccoll","CAN",6.09,NA,FALSE,FALSE,FALSE,FALSE,"M","743",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",1,"qixin","zhong","CHN",6.1,7.33,FALSE,FALSE,FALSE,FALSE,"M","738",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",2,"libor","hroza","CZE",6.1,8.98,FALSE,FALSE,FALSE,FALSE,"M","738",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",3,"dmitrii","timofeev","RUS",6.1,7.68,FALSE,FALSE,FALSE,FALSE,"M","738",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",4,"sergei","sinitcyn","RUS",6.1,NA,FALSE,FALSE,TRUE,FALSE,"M","738",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",5,"yaroslav","gontaryk","UKR",6.1,6.77,FALSE,FALSE,FALSE,FALSE,"M","738",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",6,"evgenii","vaitsekhovskii","RUS",6.1,7.37,FALSE,FALSE,FALSE,FALSE,"M","738",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46",7,"danyil","boldyrev","UKR",6.1,NA,FALSE,FALSE,TRUE,FALSE,"M","738",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47",8,"arsenii","shevchenko","RUS",6.1,NA,FALSE,FALSE,TRUE,FALSE,"M","738",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48",9,"lukasz","swirk","POL",6.1,7.18,FALSE,FALSE,FALSE,FALSE,"M","738",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49",10,"leonardo","gontero","ITA",6.1,7.21,FALSE,FALSE,FALSE,FALSE,"M","738",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
