event_id,event,start_date,end_date,year,rank,fname,lname,country,tomoa_skip
1060,"IFSC Climbing Worldcup (L,S) - Xiamen (CHN) 2018",2018-10-27,2018-10-28,2018,1,aries,susanti rahayu,INA,FALSE
1060,"IFSC Climbing Worldcup (L,S) - Xiamen (CHN) 2018",2018-10-27,2018-10-28,2018,2,iuliia,kaplina,RUS,FALSE
1060,"IFSC Climbing Worldcup (L,S) - Xiamen (CHN) 2018",2018-10-27,2018-10-28,2018,3,anouck,jaubert,FRA,FALSE
1060,"IFSC Climbing Worldcup (L,S) - Xiamen (CHN) 2018",2018-10-27,2018-10-28,2018,4,elena,remizova,RUS,FALSE
1060,"IFSC Climbing Worldcup (L,S) - Xiamen (CHN) 2018",2018-10-27,2018-10-28,2018,5,elena,timofeeva,RUS,FALSE
1060,"IFSC Climbing Worldcup (L,S) - Xiamen (CHN) 2018",2018-10-27,2018-10-28,2018,6,patrycja,chudziak,POL,FALSE
1060,"IFSC Climbing Worldcup (L,S) - Xiamen (CHN) 2018",2018-10-27,2018-10-28,2018,7,mariia,krasavina,RUS,FALSE
1060,"IFSC Climbing Worldcup (L,S) - Xiamen (CHN) 2018",2018-10-27,2018-10-28,2018,8,anna,brozek,POL,FALSE
1060,"IFSC Climbing Worldcup (L,S) - Xiamen (CHN) 2018",2018-10-27,2018-10-28,2018,9,sari,agustina,INA,FALSE
1060,"IFSC Climbing Worldcup (L,S) - Xiamen (CHN) 2018",2018-10-27,2018-10-28,2018,10,puji,lestari,INA,FALSE
1060,"IFSC Climbing Worldcup (L,S) - Xiamen (CHN) 2018",2018-10-27,2018-10-28,2018,11,cuilian,he,CHN,FALSE
1060,"IFSC Climbing Worldcup (L,S) - Xiamen (CHN) 2018",2018-10-27,2018-10-28,2018,12,yiling,song,CHN,FALSE
1060,"IFSC Climbing Worldcup (L,S) - Xiamen (CHN) 2018",2018-10-27,2018-10-28,2018,13,rajiah,sallsabillah,INA,FALSE
1060,"IFSC Climbing Worldcup (L,S) - Xiamen (CHN) 2018",2018-10-27,2018-10-28,2018,14,victoire,andrier,FRA,FALSE
1060,"IFSC Climbing Worldcup (L,S) - Xiamen (CHN) 2018",2018-10-27,2018-10-28,2018,15,mingwei,ni,CHN,FALSE
1060,"IFSC Climbing Worldcup (L,S) - Xiamen (CHN) 2018",2018-10-27,2018-10-28,2018,16,anna,tsyganova,RUS,FALSE
1059,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2018",2018-10-20,2018-10-21,2018,1,aries,susanti rahayu,INA,FALSE
1059,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2018",2018-10-20,2018-10-21,2018,2,anouck,jaubert,FRA,FALSE
1059,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2018",2018-10-20,2018-10-21,2018,3,iuliia,kaplina,RUS,FALSE
1059,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2018",2018-10-20,2018-10-21,2018,4,mariia,krasavina,RUS,FALSE
1059,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2018",2018-10-20,2018-10-21,2018,5,sari,agustina,INA,FALSE
1059,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2018",2018-10-20,2018-10-21,2018,6,anna,tsyganova,RUS,FALSE
1059,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2018",2018-10-20,2018-10-21,2018,7,mingwei,ni,CHN,FALSE
1059,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2018",2018-10-20,2018-10-21,2018,8,puji,lestari,INA,FALSE
1059,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2018",2018-10-20,2018-10-21,2018,9,anna,brozek,POL,FALSE
1059,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2018",2018-10-20,2018-10-21,2018,10,cuilian,he,CHN,FALSE
1059,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2018",2018-10-20,2018-10-21,2018,11,rajiah,sallsabillah,INA,FALSE
1059,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2018",2018-10-20,2018-10-21,2018,12,victoire,andrier,FRA,FALSE
1059,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2018",2018-10-20,2018-10-21,2018,13,aurelia,sarisson,FRA,FALSE
1059,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2018",2018-10-20,2018-10-21,2018,14,ekaterina,barashchuk,RUS,FALSE
1059,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2018",2018-10-20,2018-10-21,2018,15,tetiana,kolkotina,UKR,FALSE
1059,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2018",2018-10-20,2018-10-21,2018,16,nurul,iqamah,INA,FALSE
1061,IFSC Climbing World Championships - Innsbruck (AUT) 2018,2018-09-06,2018-09-16,2018,1,aleksandra,miroslaw,POL,FALSE
1061,IFSC Climbing World Championships - Innsbruck (AUT) 2018,2018-09-06,2018-09-16,2018,2,anna,brozek,POL,FALSE
1061,IFSC Climbing World Championships - Innsbruck (AUT) 2018,2018-09-06,2018-09-16,2018,3,mariia,krasavina,RUS,FALSE
1061,IFSC Climbing World Championships - Innsbruck (AUT) 2018,2018-09-06,2018-09-16,2018,4,aleksandra,kalucka,POL,FALSE
1061,IFSC Climbing World Championships - Innsbruck (AUT) 2018,2018-09-06,2018-09-16,2018,5,patrycja,chudziak,POL,FALSE
1061,IFSC Climbing World Championships - Innsbruck (AUT) 2018,2018-09-06,2018-09-16,2018,6,alla,marenych,UKR,FALSE
1061,IFSC Climbing World Championships - Innsbruck (AUT) 2018,2018-09-06,2018-09-16,2018,7,yiling,song,CHN,FALSE
1061,IFSC Climbing World Championships - Innsbruck (AUT) 2018,2018-09-06,2018-09-16,2018,8,anna,tsyganova,RUS,FALSE
1061,IFSC Climbing World Championships - Innsbruck (AUT) 2018,2018-09-06,2018-09-16,2018,9,di,niu,CHN,FALSE
1061,IFSC Climbing World Championships - Innsbruck (AUT) 2018,2018-09-06,2018-09-16,2018,10,natalia,kalucka,POL,FALSE
1061,IFSC Climbing World Championships - Innsbruck (AUT) 2018,2018-09-06,2018-09-16,2018,11,ekaterina,barashchuk,RUS,FALSE
1061,IFSC Climbing World Championships - Innsbruck (AUT) 2018,2018-09-06,2018-09-16,2018,12,elizaveta,ivanova,RUS,FALSE
1061,IFSC Climbing World Championships - Innsbruck (AUT) 2018,2018-09-06,2018-09-16,2018,13,iuliia,kaplina,RUS,FALSE
1061,IFSC Climbing World Championships - Innsbruck (AUT) 2018,2018-09-06,2018-09-16,2018,14,cuilian,he,CHN,FALSE
1061,IFSC Climbing World Championships - Innsbruck (AUT) 2018,2018-09-06,2018-09-16,2018,15,anouck,jaubert,FRA,FALSE
1061,IFSC Climbing World Championships - Innsbruck (AUT) 2018,2018-09-06,2018-09-16,2018,16,victoire,andrier,FRA,FALSE
1056,"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",2018-07-27,2018-07-28,2018,1,iuliia,kaplina,RUS,FALSE
1056,"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",2018-07-27,2018-07-28,2018,2,mariia,krasavina,RUS,FALSE
1056,"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",2018-07-27,2018-07-28,2018,3,anouck,jaubert,FRA,FALSE
1056,"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",2018-07-27,2018-07-28,2018,4,aleksandra,kalucka,POL,FALSE
1056,"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",2018-07-27,2018-07-28,2018,5,anna,brozek,POL,FALSE
1056,"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",2018-07-27,2018-07-28,2018,6,patrycja,chudziak,POL,FALSE
1056,"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",2018-07-27,2018-07-28,2018,7,natalia,kalucka,POL,FALSE
1056,"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",2018-07-27,2018-07-28,2018,8,elena,timofeeva,RUS,FALSE
1056,"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",2018-07-27,2018-07-28,2018,9,andrea,rojas,ECU,FALSE
1056,"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",2018-07-27,2018-07-28,2018,10,elisabetta,dalla brida,ITA,FALSE
1056,"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",2018-07-27,2018-07-28,2018,11,piper,kelly,USA,FALSE
1056,"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",2018-07-27,2018-07-28,2018,12,alexandra,elmer,AUT,FALSE
1056,"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",2018-07-27,2018-07-28,2018,13,victoire,andrier,FRA,FALSE
1056,"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",2018-07-27,2018-07-28,2018,14,daria,kan,RUS,FALSE
1056,"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",2018-07-27,2018-07-28,2018,15,capucine,viglione,FRA,FALSE
1056,"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",2018-07-27,2018-07-28,2018,16,klaudia,buczek,POL,FALSE
1054,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2018",2018-07-11,2018-07-13,2018,1,aleksandra,miroslaw,POL,FALSE
1054,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2018",2018-07-11,2018-07-13,2018,2,anna,tsyganova,RUS,FALSE
1054,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2018",2018-07-11,2018-07-13,2018,3,mariia,krasavina,RUS,FALSE
1054,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2018",2018-07-11,2018-07-13,2018,4,aurelia,sarisson,FRA,FALSE
1054,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2018",2018-07-11,2018-07-13,2018,5,aleksandra,kalucka,POL,FALSE
1054,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2018",2018-07-11,2018-07-13,2018,6,elena,remizova,RUS,FALSE
