event_id,event,start_date,end_date,year,rank,fname,lname,country,tomoa_skip
1060,"IFSC Climbing Worldcup (L,S) - Xiamen (CHN) 2018",2018-10-27,2018-10-28,2018,1,bassa,mawem,FRA,FALSE
1060,"IFSC Climbing Worldcup (L,S) - Xiamen (CHN) 2018",2018-10-27,2018-10-28,2018,2,aspar,aspar,INA,FALSE
1060,"IFSC Climbing Worldcup (L,S) - Xiamen (CHN) 2018",2018-10-27,2018-10-28,2018,3,reza,alipour shenazandifard,IRI,FALSE
1060,"IFSC Climbing Worldcup (L,S) - Xiamen (CHN) 2018",2018-10-27,2018-10-28,2018,4,dmitrii,timofeev,RUS,FALSE
1060,"IFSC Climbing Worldcup (L,S) - Xiamen (CHN) 2018",2018-10-27,2018-10-28,2018,5,vladislav,deulin,RUS,FALSE
1060,"IFSC Climbing Worldcup (L,S) - Xiamen (CHN) 2018",2018-10-27,2018-10-28,2018,6,qixin,zhong,CHN,FALSE
1060,"IFSC Climbing Worldcup (L,S) - Xiamen (CHN) 2018",2018-10-27,2018-10-28,2018,7,jinxin,li,CHN,FALSE
1060,"IFSC Climbing Worldcup (L,S) - Xiamen (CHN) 2018",2018-10-27,2018-10-28,2018,8,alfian,muhammad fajri,INA,FALSE
1060,"IFSC Climbing Worldcup (L,S) - Xiamen (CHN) 2018",2018-10-27,2018-10-28,2018,9,sabri,sabri,INA,FALSE
1060,"IFSC Climbing Worldcup (L,S) - Xiamen (CHN) 2018",2018-10-27,2018-10-28,2018,10,veddriq,leonardo,INA,FALSE
1060,"IFSC Climbing Worldcup (L,S) - Xiamen (CHN) 2018",2018-10-27,2018-10-28,2018,11,gian luca,zodda,ITA,FALSE
1060,"IFSC Climbing Worldcup (L,S) - Xiamen (CHN) 2018",2018-10-27,2018-10-28,2018,12,guillaume,moro,FRA,FALSE
1060,"IFSC Climbing Worldcup (L,S) - Xiamen (CHN) 2018",2018-10-27,2018-10-28,2018,13,aleksandr,shilov,RUS,FALSE
