"","rank","fname","lname","country","best_qual","final","fall_qual","false_start_qual","fall_final","false_start_final","sex","event_id","lane_a","lane_b","fall_lane_a","false_start_lane_a","fall_lane_b","false_start_lane_b","quarter","semi","small_final","big_final","fall_quarter","fall_semi","fall_small_final","fall_big_final","false_start_quarter","false_start_semi","false_start_small_final","false_start_big_final","first_round","fall_first_round","false_start_first_round"
"1",1,"yuliya","levochkina","RUS",9.82,9.34,FALSE,FALSE,FALSE,FALSE,"F","744",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2,"mariia","krasavina","RUS",9.46,9.4,FALSE,FALSE,FALSE,FALSE,"F","744",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",3,"esther","bruckner","FRA",9.51,9.35,FALSE,FALSE,FALSE,FALSE,"F","744",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",4,"monika","prokopiuk-kawecka","POL",10.08,9.79,FALSE,FALSE,FALSE,FALSE,"F","744",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",5,"alina","gaidamakina","RUS",9.27,8.67,FALSE,FALSE,FALSE,FALSE,"F","744",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",6,"anouck","jaubert","FRA",9.31,10.04,FALSE,FALSE,FALSE,FALSE,"F","744",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",7,"edyta","ropek","POL",9.29,10.12,FALSE,FALSE,FALSE,FALSE,"F","744",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",8,"aleksandra","miroslaw","POL",9.02,NA,FALSE,FALSE,TRUE,FALSE,"F","744",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",9,"klaudia","buczek","POL",10.2,NA,FALSE,FALSE,FALSE,FALSE,"F","744",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",10,"cuilian","he","CHN",10.44,NA,FALSE,FALSE,FALSE,FALSE,"F","744",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",11,"hung ying","lee","TPE",11.32,NA,FALSE,FALSE,FALSE,FALSE,"F","744",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",12,"anastasiya","savisko","UKR",11.37,NA,FALSE,FALSE,FALSE,FALSE,"F","744",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",13,"solah","kim","KOR",21.6,NA,FALSE,FALSE,FALSE,FALSE,"F","744",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",14,"woonwha","jeong","KOR",26.05,NA,FALSE,FALSE,FALSE,FALSE,"F","744",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",1,"esther","bruckner","FRA",8.72,8.54,FALSE,FALSE,FALSE,FALSE,"F","743",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",2,"edyta","ropek","POL",9.56,9.19,FALSE,FALSE,FALSE,FALSE,"F","743",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",3,"mariia","krasavina","RUS",8.39,8.58,FALSE,FALSE,FALSE,FALSE,"F","743",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",4,"yuliya","levochkina","RUS",8.66,9.75,FALSE,FALSE,FALSE,FALSE,"F","743",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",5,"kseniya","polekhina","RUS",9.19,9.02,FALSE,FALSE,FALSE,FALSE,"F","743",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",6,"aleksandra","miroslaw","POL",8.92,9.02,FALSE,FALSE,FALSE,FALSE,"F","743",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",7,"klaudia","buczek","POL",9.42,9.35,FALSE,FALSE,FALSE,FALSE,"F","743",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",8,"alina","gaidamakina","RUS",8.55,9.97,FALSE,FALSE,FALSE,FALSE,"F","743",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",9,"iuliia","kaplina","RUS",9.36,9.11,FALSE,FALSE,FALSE,FALSE,"F","743",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",10,"supita","tita","INA",9.67,9.27,FALSE,FALSE,FALSE,FALSE,"F","743",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",11,"cuilian","he","CHN",9.71,9.6,FALSE,FALSE,FALSE,FALSE,"F","743",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",12,"anouck","jaubert","FRA",10.2,10.26,FALSE,FALSE,FALSE,FALSE,"F","743",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",13,"monika","prokopiuk-kawecka","POL",9.37,10.43,FALSE,FALSE,FALSE,FALSE,"F","743",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",14,"anastasiya","savisko","UKR",10.3,11.71,FALSE,FALSE,FALSE,FALSE,"F","743",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",15,"puji","lestari","INA",10.7,12.07,FALSE,FALSE,FALSE,FALSE,"F","743",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",16,"yang","wang","CHN",10.01,NA,FALSE,FALSE,TRUE,FALSE,"F","743",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
