"X","rank","fname","lname","country","best_qual","final","fall_qual","false_start_qual","fall_final","false_start_final","sex","event_id","lane_a","lane_b","fall_lane_a","false_start_lane_a","fall_lane_b","false_start_lane_b","quarter","semi","small_final","big_final","fall_quarter","fall_semi","fall_small_final","fall_big_final","false_start_quarter","false_start_semi","false_start_small_final","false_start_big_final","first_round","fall_first_round","false_start_first_round","tomoa_skip","year","start_date","end_date","event","dob","time_progression","age"
1,1,"alina","gaidamakina","RUS",9.65,9.24,FALSE,FALSE,FALSE,FALSE,FALSE,727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,"2012-04-13","2012-04-14","IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2012","1990-01-01",0,22
2,2,"mariia","krasavina","RUS",9.82,9.44,FALSE,FALSE,FALSE,FALSE,FALSE,727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,"2012-04-13","2012-04-14","IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2012","1990-01-01",0,22
3,3,"natalia","titova","RUS",9.53,9.47,FALSE,FALSE,FALSE,FALSE,FALSE,727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,"2012-04-13","2012-04-14","IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2012","1978-01-01",0,34
4,4,"kseniya","polekhina","RUS",9.89,9.98,FALSE,FALSE,FALSE,FALSE,FALSE,727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,"2012-04-13","2012-04-14","IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2012","1990-01-01",0,22
5,5,"aleksandra","miroslaw","POL",9.73,9.49,FALSE,FALSE,FALSE,FALSE,FALSE,727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,"2012-04-13","2012-04-14","IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2012","1994-02-02",0,18
6,6,"cuilian","he","CHN",9.28,9.52,FALSE,FALSE,FALSE,FALSE,FALSE,727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,"2012-04-13","2012-04-14","IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2012",NA,0,22.375
7,7,"edyta","ropek","POL",9.76,9.56,FALSE,FALSE,FALSE,FALSE,FALSE,727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,"2012-04-13","2012-04-14","IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2012","1979-01-01",0,33
8,8,"xuhua","pan","CHN",11.56,10.92,FALSE,FALSE,FALSE,FALSE,FALSE,727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,"2012-04-13","2012-04-14","IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2012","1989-01-01",0,23
9,9,"yuliya","levochkina","RUS",11.48,9.53,FALSE,FALSE,FALSE,FALSE,FALSE,727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,"2012-04-13","2012-04-14","IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2012","1990-01-01",0,22
10,10,"monika","prokopiuk-kawecka","POL",10.54,11.05,FALSE,FALSE,FALSE,FALSE,FALSE,727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,"2012-04-13","2012-04-14","IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2012","1988-01-01",0,24
11,11,"anastasiya","savisko","UKR",10.93,11.06,FALSE,FALSE,FALSE,FALSE,FALSE,727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,"2012-04-13","2012-04-14","IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2012","1990-01-01",0,22
12,12,"wangmu","renzeng","CHN",12.16,11.58,FALSE,FALSE,FALSE,FALSE,FALSE,727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,"2012-04-13","2012-04-14","IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2012","1991-01-01",0,21
13,13,"yang","wang","CHN",10.22,11.85,FALSE,FALSE,FALSE,FALSE,FALSE,727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,"2012-04-13","2012-04-14","IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2012",NA,0,22.375
14,14,"anouck","jaubert","FRA",10.28,11.95,FALSE,FALSE,FALSE,FALSE,FALSE,727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,"2012-04-13","2012-04-14","IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2012","1994-01-27",0,18
15,15,"margot","heitz","FRA",9.51,13.59,FALSE,FALSE,FALSE,FALSE,FALSE,727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,"2012-04-13","2012-04-14","IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2012","1992-01-01",0,20
16,16,"esther","bruckner","FRA",10.49,14.76,FALSE,FALSE,FALSE,FALSE,FALSE,727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,"2012-04-13","2012-04-14","IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2012","1994-01-01",0,18
17,17,"wangmu","gesang","CHN",13.32,NA,FALSE,FALSE,NA,NA,FALSE,727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,"2012-04-13","2012-04-14","IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2012","1991-01-01",0,21
18,18,"rong","jiang","CHN",13.97,NA,FALSE,FALSE,NA,NA,FALSE,727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,"2012-04-13","2012-04-14","IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2012","1994-01-01",0,18
