"","rank","fname","lname","country","best_qual","final","fall_qual","false_start_qual","fall_final","false_start_final","sex","event_id","lane_a","lane_b","fall_lane_a","false_start_lane_a","fall_lane_b","false_start_lane_b","quarter","semi","small_final","big_final","fall_quarter","fall_semi","fall_small_final","fall_big_final","false_start_quarter","false_start_semi","false_start_small_final","false_start_big_final","first_round","fall_first_round","false_start_first_round","tomoa_skip","year","start_date","end_date","event"
"1",1,"alina","gaidamakina","RUS",9.65,9.24,FALSE,FALSE,FALSE,FALSE,"F",727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,2012-04-13,2012-04-14,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2012"
"2",2,"mariia","krasavina","RUS",9.82,9.44,FALSE,FALSE,FALSE,FALSE,"F",727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,2012-04-13,2012-04-14,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2012"
"3",3,"natalia","titova","RUS",9.53,9.47,FALSE,FALSE,FALSE,FALSE,"F",727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,2012-04-13,2012-04-14,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2012"
"4",4,"kseniya","polekhina","RUS",9.89,9.98,FALSE,FALSE,FALSE,FALSE,"F",727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,2012-04-13,2012-04-14,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2012"
"5",5,"aleksandra","miroslaw","POL",9.73,9.49,FALSE,FALSE,FALSE,FALSE,"F",727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,2012-04-13,2012-04-14,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2012"
"6",6,"cuilian","he","CHN",9.28,9.52,FALSE,FALSE,FALSE,FALSE,"F",727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,2012-04-13,2012-04-14,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2012"
"7",7,"edyta","ropek","POL",9.76,9.56,FALSE,FALSE,FALSE,FALSE,"F",727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,2012-04-13,2012-04-14,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2012"
"8",8,"xuhua","pan","CHN",11.56,10.92,FALSE,FALSE,FALSE,FALSE,"F",727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,2012-04-13,2012-04-14,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2012"
"9",9,"yuliya","levochkina","RUS",11.48,9.53,FALSE,FALSE,FALSE,FALSE,"F",727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,2012-04-13,2012-04-14,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2012"
"10",10,"monika","prokopiuk-kawecka","POL",10.54,11.05,FALSE,FALSE,FALSE,FALSE,"F",727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,2012-04-13,2012-04-14,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2012"
"11",11,"anastasiya","savisko","UKR",10.93,11.06,FALSE,FALSE,FALSE,FALSE,"F",727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,2012-04-13,2012-04-14,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2012"
"12",12,"wangmu","renzeng","CHN",12.16,11.58,FALSE,FALSE,FALSE,FALSE,"F",727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,2012-04-13,2012-04-14,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2012"
"13",13,"yang","wang","CHN",10.22,11.85,FALSE,FALSE,FALSE,FALSE,"F",727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,2012-04-13,2012-04-14,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2012"
"14",14,"anouck","jaubert","FRA",10.28,11.95,FALSE,FALSE,FALSE,FALSE,"F",727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,2012-04-13,2012-04-14,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2012"
"15",15,"margot","heitz","FRA",9.51,13.59,FALSE,FALSE,FALSE,FALSE,"F",727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,2012-04-13,2012-04-14,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2012"
"16",16,"esther","bruckner","FRA",10.49,14.76,FALSE,FALSE,FALSE,FALSE,"F",727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,2012-04-13,2012-04-14,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2012"
"17",17,"wangmu","gesang","CHN",13.32,NA,FALSE,FALSE,NA,NA,"F",727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,2012-04-13,2012-04-14,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2012"
"18",18,"rong","jiang","CHN",13.97,NA,FALSE,FALSE,NA,NA,"F",727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,2012-04-13,2012-04-14,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2012"
"19",1,"aleksandra","miroslaw","POL",9.027,8.99,FALSE,FALSE,FALSE,FALSE,"F",732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,2012-07-12,2012-07-13,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2012"
"20",2,"alina","gaidamakina","RUS",9.413,9.19,FALSE,FALSE,FALSE,FALSE,"F",732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,2012-07-12,2012-07-13,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2012"
"21",3,"natalia","titova","RUS",9.639,9.4,FALSE,FALSE,FALSE,FALSE,"F",732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,2012-07-12,2012-07-13,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2012"
"22",4,"yuliya","levochkina","RUS",8.533,10.63,FALSE,FALSE,FALSE,FALSE,"F",732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,2012-07-12,2012-07-13,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2012"
"23",5,"esther","bruckner","FRA",9.735,9.26,FALSE,FALSE,FALSE,FALSE,"F",732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,2012-07-12,2012-07-13,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2012"
"24",6,"anna","tsyganova","RUS",9.471,10.62,FALSE,FALSE,FALSE,FALSE,"F",732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,2012-07-12,2012-07-13,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2012"
"25",7,"anouck","jaubert","FRA",8.971,11.26,FALSE,FALSE,FALSE,FALSE,"F",732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,2012-07-12,2012-07-13,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2012"
"26",8,"edyta","ropek","POL",9.311,NA,FALSE,FALSE,TRUE,FALSE,"F",732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,2012-07-12,2012-07-13,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2012"
"27",9,"anastasiya","savisko","UKR",10.14,9.66,FALSE,FALSE,FALSE,FALSE,"F",732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,2012-07-12,2012-07-13,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2012"
"28",10,"mariia","krasavina","RUS",10.044,9.9,FALSE,FALSE,FALSE,FALSE,"F",732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,2012-07-12,2012-07-13,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2012"
"29",11,"kseniya","polekhina","RUS",9.778,9.93,FALSE,FALSE,FALSE,FALSE,"F",732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,2012-07-12,2012-07-13,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2012"
"30",12,"stefanie","pichler","AUT",9.836,10.06,FALSE,FALSE,FALSE,FALSE,"F",732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,2012-07-12,2012-07-13,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2012"
